mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17.76497530937195,0.5719426727896174,2.3921675205230715,0.2672075600017259,0.25,rbf,0.5,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}",0.871,0.872,0.8793,0.8776,0.8734,0.8746600000000001,0.0032320891076825266,73,0.903125,0.904925,0.90285,0.90315,0.90295,0.9034000000000001,0.0007705517503711071
549.7518970966339,24.81519916516053,1.5274598598480225,0.10533433013880322,0.25,poly,0.5,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'poly'}",0.866,0.8574,0.8663,0.8656,0.8683,0.8647199999999999,0.0037764533626141574,91,0.993625,0.99395,0.9939,0.994375,0.993425,0.9938550000000002,0.0003222576608864455
4.889999628067017,0.37228246808837157,0.992827320098877,0.07526299502078404,0.25,sigmoid,0.5,"{'C': 0.25, 'gamma': 0.5, 'kernel': 'sigmoid'}",0.4,0.4,0.4,0.4,0.4,0.4,0.0,419,0.4,0.4,0.4,0.4,0.4,0.4,0.0
22.331377220153808,1.5048164793641454,2.6662758350372315,0.24171998850823379,0.25,rbf,1,"{'C': 0.25, 'gamma': 1, 'kernel': 'rbf'}",0.8755,0.8754,0.8811,0.8803,0.8781,0.87808,0.002361694307060097,70,0.93185,0.93235,0.931275,0.93225,0.9319,0.9319249999999999,0.00037815340802380224
765.8685829639435,69.44852546384996,1.4725049972534179,0.08144206056362713,0.25,poly,1,"{'C': 0.25, 'gamma': 1, 'kernel': 'poly'}",0.8435,0.8389,0.8486,0.8483,0.8493,0.84572,0.003980150750913863,113,0.999375,0.9994,0.99945,0.999475,0.999575,0.9994549999999999,6.964194138592248e-05
4.650965070724487,0.15902482552826389,0.9595502376556396,0.05262333625771414,0.25,sigmoid,1,"{'C': 0.25, 'gamma': 1, 'kernel': 'sigmoid'}",0.4,0.4,0.4,0.4,0.4,0.4,0.0,419,0.4,0.4,0.4,0.4,0.4,0.4,0.0
26.782782220840453,1.0033399302238684,3.335320568084717,0.2847953388920225,0.25,rbf,2,"{'C': 0.25, 'gamma': 2, 'kernel': 'rbf'}",0.7025,0.6959,0.6961,0.7055,0.7017,0.70034,0.0037638278387832802,311,0.751475,0.75175,0.7525,0.752175,0.747675,0.7511150000000001,0.0017554629019150545
731.3039276123047,53.89025602470688,1.3560545921325684,0.04830694190427888,0.25,poly,2,"{'C': 0.25, 'gamma': 2, 'kernel': 'poly'}",0.8322,0.8296,0.8349,0.8301,0.8441,0.8341799999999999,0.005300339611760729,134,1.0,1.0,1.0,0.999975,1.0,0.999995,1.0000000000021104e-05
4.749765110015869,0.1419443234362802,0.9836127281188964,0.10217883540557968,0.25,sigmoid,2,"{'C': 0.25, 'gamma': 2, 'kernel': 'sigmoid'}",0.4,0.4,0.4,0.4,0.4,0.4,0.0,419,0.4,0.4,0.4,0.4,0.4,0.4,0.0
46.24855461120605,1.233496870320701,3.7219820499420164,0.2349130104119795,0.25,rbf,4,"{'C': 0.25, 'gamma': 4, 'kernel': 'rbf'}",0.6211,0.623,0.6226,0.6228,0.6196,0.62182,0.0012967652061957823,330,0.633275,0.6332,0.63375,0.632925,0.63395,0.63342,0.000375299880095924
